Rank,Name,RSSDID,Location,TotalAsset
1,JPMORGAN CHASE & CO.                                                                                                    ,1039502,"NEW YORK, NY",3868240000.0
2,BANK OF AMERICA CORPORATION                                                                                             ,1073757,"CHARLOTTE, NC",3123198000.0
3,CITIGROUP INC.                                                                                                          ,1951350,"NEW YORK, NY",2423675000.0
4,WELLS FARGO & COMPANY                                                                                                   ,1120754,"SAN FRANCISCO, CA",1876322000.0
5,"GOLDMAN SACHS GROUP, INC., THE                                                                                          ",2380443,"NEW YORK, NY",1571386000.0
6,MORGAN STANLEY                                                                                                          ,2162966,"NEW YORK, NY",1164911000.0
7,U.S. BANCORP                                                                                                            ,1119794,"MINNEAPOLIS, MN",680825000.0
8,"PNC FINANCIAL SERVICES GROUP, INC., THE                                                                                 ",1069778,"PITTSBURGH, PA",558222918.0
9,TRUIST FINANCIAL CORPORATION                                                                                            ,1074156,"CHARLOTTE, NC",554549000.0
10,TD GROUP US HOLDINGS LLC                                                                                                ,3606542,"WILMINGTON, DE",516128603.0
11,"CHARLES SCHWAB CORPORATION, THE                                                                                         ",1026632,"WESTLAKE, TX",511505000.0
12,CAPITAL ONE FINANCIAL CORPORATION                                                                                       ,2277860,"MCLEAN, VA",467799623.0
13,"BANK OF NEW YORK MELLON CORPORATION, THE                                                                                ",3587146,"NEW YORK, NY",430382000.0
14,STATE STREET CORPORATION                                                                                                ,1111435,"BOSTON, MA",294561000.0
15,BMO FINANCIAL CORP.                                                                                                     ,1245415,"CHICAGO, IL",293074484.0
16,AMERICAN EXPRESS COMPANY                                                                                                ,1275216,"NEW YORK, NY",244904000.0
17,HSBC NORTH AMERICA HOLDINGS INC.                                                                                        ,3232316,"NEW YORK, NY",223656483.0
18,"CITIZENS FINANCIAL GROUP, INC.                                                                                          ",1132449,"PROVIDENCE, RI",223468136.0
19,"FIRST CITIZENS BANCSHARES, INC.                                                                                         ",1075612,"RALEIGH, NC",209515076.0
20,M&T BANK CORPORATION                                                                                                    ,1037003,"BUFFALO, NY",207671729.0
21,FIFTH THIRD BANCORP                                                                                                     ,1070345,"CINCINNATI, OH",207276000.0
22,UNITED SERVICES AUTOMOBILE ASSOCIATION                                                                                  ,1447376,"SAN ANTONIO, TX",206564000.0
23,ALLY FINANCIAL INC.                                                                                                     ,1562859,"DETROIT, MI",197241000.0
24,UBS AMERICAS HOLDING LLC                                                                                                ,4846998,"NEW YORK, NY",195827447.0
25,KEYCORP                                                                                                                 ,1068025,"CLEVELAND, OH",195213563.0
26,BARCLAYS US LLC                                                                                                         ,5006575,"NEW YORK, NY",190712000.0
27,HUNTINGTON BANCSHARES INCORPORATED                                                                                      ,1068191,"COLUMBUS, OH",188504626.0
28,"SANTANDER HOLDINGS USA, INC.                                                                                            ",3981856,"BOSTON, MA",170821696.0
29,"AMERIPRISE FINANCIAL, INC.                                                                                              ",2433312,"MINNEAPOLIS, MN",169790184.0
30,RBC US GROUP HOLDINGS LLC                                                                                               ,5280254,"TORONTO, CANADA                                  ",165936128.0
31,NORTHERN TRUST CORPORATION                                                                                              ,1199611,"CHICAGO, IL",156752514.0
32,REGIONS FINANCIAL CORPORATION                                                                                           ,3242838,"BIRMINGHAM, AL",155878000.0
33,DISCOVER FINANCIAL SERVICES                                                                                             ,3846375,"RIVERWOODS, IL",138081829.0
34,"NEW YORK COMMUNITY BANCORP, INC.                                                                                        ",2132932,"HICKSVILLE, NY",118796426.0
35,SYNCHRONY FINANCIAL                                                                                                     ,4504654,"STAMFORD, CT",108697000.0
36,DB USA CORPORATION                                                                                                      ,2816906,"NEW YORK, NY",108497000.0
37,COMERICA INCORPORATED                                                                                                   ,1199844,"DALLAS, TX",90994000.0
38,FIRST HORIZON CORPORATION                                                                                               ,1094640,"MEMPHIS, TN",85072148.0
39,MIZUHO AMERICAS LLC                                                                                                     ,5034792,"NEW YORK, NY",82306000.0
40,"RAYMOND JAMES FINANCIAL, INC.                                                                                           ",3815157,"SAINT PETERSBURG, FL",77633371.0
41,WEBSTER FINANCIAL CORPORATION                                                                                           ,1145476,"STAMFORD, CT",74038244.0
42,"POPULAR, INC.                                                                                                           ",1129382,"SAN JUAN, PUERTO RICO                             ",70838000.0
43,"EAST WEST BANCORP, INC.                                                                                                 ",2734233,"PASADENA, CA",68532681.0
44,CIBC BANCORP USA INC.                                                                                                   ,5014141,"CHICAGO, IL",68186964.0
45,WESTERN ALLIANCE BANCORPORATION                                                                                         ,2349815,"PHOENIX, AZ",68159684.0
46,VALLEY NATIONAL BANCORP                                                                                                 ,1048773,"NEW YORK, NY",61703693.0
47,SYNOVUS FINANCIAL CORP.                                                                                                 ,1078846,"COLUMBUS, GA",60655591.0
48,JOHN DEERE CAPITAL CORPORATION                                                                                          ,3843075,"MIDDLETON, WI",56947060.0
49,WINTRUST FINANCIAL CORPORATION                                                                                          ,2260406,"ROSEMONT, IL",54286176.0
50,"COLUMBIA BANKING SYSTEM, INC.                                                                                           ",2078816,"TACOMA, WA",53592096.0
51,"BNP PARIBAS USA, INC.                                                                                                   ",1575569,"NEW YORK, NY",52747975.0
52,BOK FINANCIAL CORPORATION                                                                                               ,1883693,"TULSA, OK",49274497.0
53,"CULLEN/FROST BANKERS, INC.                                                                                              ",1102367,"SAN ANTONIO, TX",48643643.0
54,OLD NATIONAL BANCORP                                                                                                    ,1098303,"EVANSVILLE, IN",48496755.0
55,"PINNACLE FINANCIAL PARTNERS, INC.                                                                                       ",2925657,"NASHVILLE, TN",46875982.0
56,F.N.B. CORPORATION                                                                                                      ,3005332,"PITTSBURGH, PA",44970846.0
57,SOUTHSTATE CORPORATION                                                                                                  ,1133437,"WINTER HAVEN, FL",44940332.0
58,MUFG AMERICAS HOLDINGS CORPORATION                                                                                      ,1378434,"NEW YORK, NY",44127614.0
59,UMB FINANCIAL CORPORATION                                                                                               ,1049828,"KANSAS CITY, MO",41243042.0
60,ASSOCIATED BANC-CORP                                                                                                    ,1199563,"GREEN BAY, WI",41219473.0
61,"PROSPERITY BANCSHARES, INC.                                                                                             ",1109599,"HOUSTON, TX",39915093.0
62,PACWEST BANCORP                                                                                                         ,2875332,"BEVERLY HILLS, CA",38337250.0
63,STIFEL FINANCIAL CORP.                                                                                                  ,3063622,"SAINT LOUIS, MO",37298239.0
64,"SMBC AMERICAS HOLDINGS, INC.                                                                                            ",2170804,"NEW YORK, NY",36915000.0
65,MIDLAND FINANCIAL CO.                                                                                                   ,2568278,"OKLAHOMA CITY, OK",36511069.0
66,"TIAA FSB HOLDINGS, INC.                                                                                                 ",3838857,"JACKSONVILLE, FL",36463133.0
67,HANCOCK WHITNEY CORPORATION                                                                                             ,1086533,"GULFPORT, MS",36218248.0
68,"CREDIT SUISSE HOLDINGS (USA), INC.                                                                                      ",1574834,"NEW YORK, NY",36102928.0
69,"BANKUNITED, INC.                                                                                                        ",4028712,"MIAMI LAKES, FL",35876088.0
70,"COMMERCE BANCSHARES, INC.                                                                                               ",1049341,"KANSAS CITY, MO",32872242.0
71,BEAL FINANCIAL CORPORATION                                                                                              ,3818804,"PLANO, TX",32421850.0
72,"FIRST INTERSTATE BANCSYSTEM, INC.                                                                                       ",1123670,"BILLINGS, MT",30976336.0
73,"UNITED BANKSHARES, INC.                                                                                                 ",1076217,"CHARLESTON, WV",29694651.0
74,"FIRST NATIONAL OF NEBRASKA, INC.                                                                                        ",1020902,"OMAHA, NE",29580626.0
75,"TEXAS CAPITAL BANCSHARES, INC.                                                                                          ",2706735,"DALLAS, TX",28976544.0
76,FIRSTBANK HOLDING COMPANY                                                                                               ,1060627,"LAKEWOOD, CO",28203751.0
77,SIMMONS FIRST NATIONAL CORPORATION                                                                                      ,1094828,"PINE BLUFF, AR",27959169.0
78,"GLACIER BANCORP, INC.                                                                                                   ",2003975,"KALISPELL, MT",27527679.0
79,FULTON FINANCIAL CORPORATION                                                                                            ,1117129,"LANCASTER, PA",27356418.0
80,"ARVEST BANK GROUP, INC.                                                                                                 ",1095674,"BENTONVILLE, AR",27278448.0
81,"BCI FINANCIAL GROUP, INC.                                                                                               ",3762457,"MIAMI, FL",26319078.0
82,"UNITED COMMUNITY BANKS, INC.                                                                                            ",1249347,"GREENVILLE, SC",26123269.0
83,AMERIS BANCORP                                                                                                          ,1082067,"ATLANTA, GA",25800618.0
84,"SOFI TECHNOLOGIES, INC.                                                                                                 ",5586871,"SAN FRANCISCO, CA",25561449.0
85,BANK OF HAWAII CORPORATION                                                                                              ,1025309,"HONOLULU, HI",24947936.0
86,"FIRST HAWAIIAN, INC.                                                                                                    ",1025608,"HONOLULU, HI",24511566.0
87,CATHAY GENERAL BANCORP                                                                                                  ,1843080,"LOS ANGELES, CA",23028437.0
88,"WASHINGTON FEDERAL, INC.                                                                                                ",3065617,"SEATTLE, WA",22552588.0
89,"HOME BANCSHARES, INC.                                                                                                   ",1491409,"CONWAY, AR",22126429.0
90,"CUSTOMERS BANCORP, INC                                                                                                  ",4284536,"WEST READING, PA",22044631.0
91,EASTERN BANKSHARES INC                                                                                                  ,1427239,"BOSTON, MA",21584324.0
92,"PACIFIC PREMIER BANCORP, INC.                                                                                           ",3489594,"IRVINE, CA",20747883.0
93,ATLANTIC UNION BANKSHARES CORPORATION                                                                                   ,1971693,"RICHMOND, VA",20602722.0
94,WSFS FINANCIAL CORPORATION                                                                                              ,3844269,"WILMINGTON, DE",20385691.0
95,"HOPE BANCORP, INC.                                                                                                      ",2961879,"LOS ANGELES, CA",20366394.0
96,"AXOS FINANCIAL, INC.                                                                                                    ",3814310,"LAS VEGAS, NV",20348468.0
97,"HEARTLAND FINANCIAL USA, INC.                                                                                           ",1206546,"DENVER, CO",20224716.0
98,INDEPENDENT BANK CORP.                                                                                                  ,1136803,"ROCKLAND, MA",19402514.0
99,FIRST BANCORP                                                                                                           ,2744894,"SAN JUAN, PUERTO RICO                             ",19152455.0
