date,price,open,high,low
2023-11-01,57.22,68.18,68.18,57.22
2023-10-01,68.18,64.73,72.55,62.25
2023-09-01,64.73,55.22,65.25,55.16
2023-08-01,55.22,51.22,59.16,51.22
2023-07-01,51.22,61.15,63.15,51.22
2023-06-01,61.17,67.20,67.20,61.17
2023-05-01,67.20,77.19,89.85,67.20
2023-04-01,77.17,74.19,88.07,72.12
2023-03-01,74.19,67.16,99.00,64.10
2023-02-01,67.16,65.23,69.09,61.20
2023-01-01,65.23,78.11,78.18,65.23
2022-12-01,78.11,74.82,80.09,72.18
2022-11-01,73.25,94.03,95.02,73.25
2022-10-01,94.03,109.92,114.87,94.03
2022-09-01,109.91,89.05,110.92,81.03
2022-08-01,89.06,84.09,89.06,73.14
2022-07-01,84.09,104.94,104.94,84.09
2022-06-01,104.94,82.09,104.94,81.08
2022-05-01,82.09,86.06,99.00,82.09
2022-04-01,86.07,67.42,86.07,66.07
2022-03-01,67.42,66.47,90.12,66.47
2022-02-01,66.47,58.41,68.36,56.45
2022-01-01,58.41,47.51,58.45,45.52
2021-12-01,47.51,54.48,56.53,47.50
