PERMNO,date,RET,vwretd
47896,1991-01-02,0.046512,-0.008813
47896,1991-01-03,0.000000,-0.011820
47896,1991-01-04,0.011111,-0.002309
47896,1991-01-07,-0.043956,-0.016346
47896,1991-01-08,0.000000,-0.002727
47896,1991-01-09,-0.034483,-0.009093
47896,1991-01-10,0.023810,0.009429
47896,1991-01-11,0.023256,0.000868
47896,1991-01-14,-0.034091,-0.009508
47896,1991-01-15,0.023529,0.003183
47896,1991-01-16,0.011494,0.009464
47896,1991-01-17,0.000000,0.033074
47896,1991-01-18,0.011364,0.009020
47896,1991-01-21,0.056180,-0.000752
47896,1991-01-22,0.063830,-0.005899
47896,1991-01-23,0.010000,0.005906
47896,1991-01-24,-0.009901,0.014341
47896,1991-01-25,0.060000,0.004249
47896,1991-01-28,0.000000,0.001523
47896,1991-01-29,0.009434,0.001066
47896,1991-01-30,-0.028037,0.014963
47896,1991-01-31,0.009615,0.009568
47896,1991-02-01,0.038095,0.000271
47896,1991-02-04,0.137615,0.015715
47896,1991-02-05,-0.008065,0.010277
47896,1991-02-06,0.000000,0.017859
47896,1991-02-07,0.008130,-0.003433
47896,1991-02-08,0.024194,0.006692
47896,1991-02-11,0.094488,0.023406
47896,1991-02-12,-0.014388,-0.005439
47896,1991-02-13,0.036496,0.008805
47896,1991-02-14,-0.042254,-0.011131
47896,1991-02-15,0.022059,0.011687
47896,1991-02-19,-0.021583,0.001523
47896,1991-02-20,-0.044118,-0.010218
47896,1991-02-21,-0.015385,-0.000246
47896,1991-02-22,0.031250,0.002227
47896,1991-02-25,0.000000,0.004392
47896,1991-02-26,0.000000,-0.010480
47896,1991-02-27,0.007576,0.011476
47896,1991-02-28,-0.007519,0.000805
47896,1991-03-01,0.045455,0.008371
47896,1991-03-04,-0.007246,0.000792
47896,1991-03-05,0.036496,0.018720
47896,1991-03-06,0.014085,-0.000997
47896,1991-03-07,0.000000,0.000183
47896,1991-03-08,-0.013889,-0.001836
47896,1991-03-11,0.021127,-0.005634
47896,1991-03-12,-0.034965,-0.008146
47896,1991-03-13,0.014493,0.010826
47896,1991-03-14,-0.007143,-0.001446
47896,1991-03-15,-0.007194,-0.002086
47896,1991-03-18,0.007246,-0.002448
47896,1991-03-19,-0.007194,-0.012276
47896,1991-03-20,-0.036232,0.003676
47896,1991-03-21,-0.037594,-0.002437
47896,1991-03-22,-0.039063,0.001576
47896,1991-03-25,0.040650,0.006500
47896,1991-03-26,0.062500,0.016058
47896,1991-03-27,0.007353,0.000049
47896,1991-03-28,0.014599,-0.000331
47896,1991-04-01,-0.050360,-0.007887
47896,1991-04-02,0.068182,0.019315
47896,1991-04-03,0.056738,0.001303
47896,1991-04-04,0.026846,0.003189
47896,1991-04-05,0.000000,-0.008957
47896,1991-04-08,0.006536,0.005881
47896,1991-04-09,-0.038961,-0.010069
47896,1991-04-10,-0.013514,-0.001837
47896,1991-04-11,0.034247,0.011522
47896,1991-04-12,-0.006623,0.006035
47896,1991-04-15,0.046667,0.001968
47896,1991-04-16,0.038217,0.014233
47896,1991-04-17,0.079755,0.007752
47896,1991-04-18,-0.022727,-0.004857
47896,1991-04-19,-0.017442,-0.009834
47896,1991-04-22,-0.035503,-0.009336
47896,1991-04-23,0.036810,0.001777
47896,1991-04-24,-0.005917,0.002895
47896,1991-04-25,0.000000,-0.007303
47896,1991-04-26,-0.011905,-0.001376
47896,1991-04-29,0.006024,-0.012574
47896,1991-04-30,-0.017964,0.002211
47896,1991-05-01,-0.006098,0.011984
47896,1991-05-02,-0.012270,0.001922
47896,1991-05-03,-0.012422,0.000813
47896,1991-05-06,-0.018868,-0.001580
47896,1991-05-07,0.006410,-0.005006
47896,1991-05-08,0.006369,0.002347
47896,1991-05-09,0.012658,0.011488
47896,1991-05-10,-0.031250,-0.015675
47896,1991-05-13,0.006452,0.001862
47896,1991-05-14,-0.044872,-0.011850
47896,1991-05-15,-0.006711,-0.009834
47896,1991-05-16,0.013514,0.009211
47896,1991-05-17,-0.006667,-0.000181
47896,1991-05-20,0.006711,-0.000067
47896,1991-05-21,0.006667,0.007450
47896,1991-05-22,0.026490,0.002428
47896,1991-05-23,0.032258,-0.001313
47896,1991-05-24,0.031250,0.006375
47896,1991-05-28,0.018182,0.010607
47896,1991-05-29,-0.011905,0.002654
47896,1991-05-30,0.012048,0.010109
47896,1991-05-31,0.017857,0.007133
47896,1991-06-03,-0.017544,-0.002471
47896,1991-06-04,0.047619,-0.000321
