date,short_interest,days_to_cover
2023-11-09,16205765,1.48
2023-10-24,16114613,1.43
2023-10-10,17414414,2.21
2023-09-26,20154592,2.16
2023-09-12,18565057,2.39
2023-08-24,19160644,2.77
2023-08-09,19402547,1.7
2023-07-25,18766194,1.6
2023-07-12,16536682,1.56
2023-06-27,18488113,2.02
2023-06-09,17187232,1.69
2023-05-24,17268947,1.54
2023-05-09,18681417,1.65
2023-04-25,17185476,1.19
2023-04-12,16469513,1
2023-03-24,20628355,1
2023-03-09,18065269,1.92
2023-02-27,16437409,1.92
2023-02-09,15359068,1.52
2023-01-25,18771554,1.71
2023-01-11,17049941,1.88
2022-12-27,19660765,1.94
2022-12-09,20973162,2.43
2022-11-25,24333614,1.91
2022-11-09,22353403,1.49
2022-10-25,18994510,1.24
2022-10-11,18138781,1.38
2022-09-26,21769677,2.1
2022-09-12,20192388,2.04
2022-08-24,17983035,1.42
2022-08-09,16582866,1.52
2022-07-26,17731481,1.36
2022-07-12,16574768,1.16
2022-06-27,18917969,1.67
2022-06-10,22302332,1.53
2022-05-24,20420097,1.34
2022-05-10,19189342,1.31
2022-04-26,16860102,1.07
2022-04-11,15828071,1.14
2022-03-24,14975156,1
2022-03-09,15246882,1
2022-02-25,16755466,1.17
2022-02-09,16718922,1
2022-01-26,17547325,1.03
2022-01-11,14705396,1.34
2021-12-17,14837704,1.25
2021-12-09,14473691,1.19
2021-11-24,17524555,2.34
